id_respuesta,Timestamp,¿Para qué tipo de empresa trabaja?,La empresa para la que usted trabaja se dedica principalmente a,¿Cuantos años de fundada tiene la empresa para la que trabaja?,¿Cuál es su título en la empresa?,¿Se considera usted fundador en la empresa?,¿Qué porcentaje de su tiempo laboral se ocupa en tareas relacionadas a desarrollo de software?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de proyectos?,¿Qué porcentaje de su tiempo laboral se ocupa en liderazgo técnico?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de ingeniería?,¿Cuánto tiempo lleva en su cargo actual (incluyendo freelance)?,¿Cuántos años de experiencia en desarrollo de software profesional tiene?,¿En cuál de los siguientes lenguajes de programación ocupa la mayoría de su tiempo laboral?,¿En qué otros lenguajes de programación ocupa su tiempo laboral?,Tipo de relación laboral,Su modo de trabajo es: (ignorando el cambio por covid-19),Usted prefiere:,¿Tiene titulo universitario o técnico?,¿Estudió alguna carrera de PRE-grado relacionada a ingeniería de sistemas?,¿Estudió alguna carrera de POSTgrado relacionada a ingeniería de sistemas?,¿Tomó clases de programación o algorítmia en la universidad?,¿Cuál es su máximo titulo alcanzado (graduado)?,¿Ha estudiado en algún bootcamp de programación?,"¿Si ha estudiado en un bootcamp de programación, en cuál? (ingrese el url del bootcamp)",¿Cuál es su nivel de inglés para realizar conversaciones técnicas sobre software?,¿A usted le pagan en pesos colombianos (COP) o dólares (USD)?,"¿Usando la moneda de la respuesta anterior, cuánto es su remuneración ANUAL base?  eg 36,000,000 si es pesos o 3,600 si es dólares",¿Cuánto es su remuneración ANUAL adicional (usando la moneda que respondio anteriormente)?,¿Cuánto era la remuneración base ANUAL de su trabajo/rol anterior?,¿Quién paga su seguro de salud?,¿Quién paga sus pensiones y cesantias?,¿Tiene acciones (opciones/stock options/rsus) o dividendos de su empresa como parte de su compensación?,"¿Si tiene acciones, cuántas tiene en total?","¿Si tiene acciones, cuál es el precio de emisión por acción en USD? (use $3,750 como tasa de cambio si es necesario)",¿Trabaja usted en proyectos freelance a pesar de tener trabajo tiempo completo?,¿Cuanto fue el total de sus ingresos adicionales de proyectos freelance el año pasado?,¿Siente que su salario es justo?,¿En qué sitio web busca oportunidades laborales principalmente?,¿En que ciudad de Colombia vive?,¿Cuál es su país de procedencia?,¿En qué año nació?,¿Cuantos hijos tiene?,¿Con cual pronombre prefiere que se refieran a usted?,¿Se considera usted parte de una minoría racial o étnica?,¿Cuantas horas trabaja por semana?,titulo_en_empresa_v2,tipo_relacion_laboral_v2,url_bootcamp_v2,precio_emision_accion_v2,acciones_total_v2,ingresos_freelance_ultimo_anio_v2,sitio_buscar_trabajo_v2,ciudad_v2,pais_v2,anio_nacimiento_v2,horas_trabajo_semana_v2,remuneracion_anual_v2,remuneracion_mensual_usd
1044,7/3/2020 6:30:44,empresa Colombiana con mercado global,"servicio no tecnológico (banca, seguros, contabilidad, etc)",menos de 1,Tech lead,no,70 - 80%,0 - 10%,0 - 10%,10 - 20%,menos de 1 año,3 - 5 años,C#,Python,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo en oficina,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,48000000,48000000,36000000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,http://linkedin.com,Medellín,Colombia,1990,0,él (tradicionalmente se identifica como hombre),no,55,Lead,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[26-30],[50-59],12800,1066
1045,7/3/2020 6:48:18,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,más de 10,Senior Full stack developer,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,10 - 15 años,Ruby,JavaScript,contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,bachiller,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,108000000,0,202500000,mi empleador,mi empleador,no,NULL,NULL,si,101250000,si,https://www.linkedin.com,Bogotá,Colombia,1981,0,él (tradicionalmente se identifica como hombre),no,40,FullStack Developer,término indefinido,NULL,NULL,NULL,[10k-100k],LinkedIn.com,Bogotá,Colombia,[36-40],[40-49],28800,2400
1046,7/3/2020 7:20:36,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,5 - 10,Fullstack engineer,no,90 - 100%,no tengo responsabilidades de este tipo,0 - 10%,no tengo responsabilidades gerenciales,1+ año,5 - 10 años,JavaScript,"C#, JavaScript, TypeScript",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,técnico,no,no,si,"técnico, tecnología, bachiller técnico",No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,78000000,6500000,42000000,mi empleador,mi empleador,no,NULL,NULL,si,0,si,http://linkedin.com,https://en.m.wikipedia.org/wiki/Cali,Colombia,1989,1,él (tradicionalmente se identifica como hombre),no,42,FullStack Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Cali,Colombia,[31-35],[40-49],20800,1733
1047,7/3/2020 8:30:56,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,más de 10,Lead Front end Developer,no,70 - 80%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,3 - 5 años,5 - 10 años,JavaScript,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo en oficina,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,186000000,10000000,100000000,mi empleador,mi empleador,no,NULL,NULL,no,2000000,si,NULL,Bogota,Colombia,1992,0,él (tradicionalmente se identifica como hombre),no,40,Lead,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Bogotá,Colombia,[26-30],[40-49],49600,4133
1048,7/3/2020 8:45:18,empresa Colombiana con mercado Colombiano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",2 - 5,Analista de desarrollo,no,80 - 90%,10 - 20%,10 - 20%,no tengo responsabilidades gerenciales,2+ años,5 - 10 años,JavaScript,TypeScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,38400000,12800000,0,mi empleador,mi empleador,no,NULL,NULL,no,0,no,NULL,Medellín,Colombia,1994,0,él (tradicionalmente se identifica como hombre),no,40,Analista,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Medellín,Colombia,[26-30],[40-49],10240,853
1049,7/3/2020 9:08:28,empresa Colombiana con mercado global,consultoría y servicios de desarrollo de software a la medida,más de 10,Software engineer,no,70 - 80%,0 - 10%,10 - 20%,no tengo responsabilidades gerenciales,5 - 10 años,5 - 10 años,Scala,"C++, Elm, Go, Java, JavaScript, Python, QML, Scala, Shell, SQL, TSQL, TypeScript",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,soy estudiante de post-grado relacionado a ing de sistemas,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,81600000,0,43800,mi empleador,mi empleador,no,NULL,NULL,no,0,no,NULL,Medellín,Colombia,1987,0,él (tradicionalmente se identifica como hombre),no,48,Software engineer,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Medellín,Colombia,[31-35],[40-49],21760,1813
1050,7/3/2020 9:24:37,empresa Colombiana con mercado Colombiano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",2 - 5,Tecnical lead,no,40 - 50%,no tengo responsabilidades de este tipo,40 - 50%,no tengo responsabilidades gerenciales,2+ años,10 - 15 años,Java,Java,contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,168000000,0,0,mi empleador,mi empleador,no,NULL,NULL,no,0,si,NULL,Bogotá,Colombia,1990,0,él (tradicionalmente se identifica como hombre),no,40,Lead,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Bogotá,Colombia,[26-30],[40-49],44800,3733
1051,7/3/2020 10:21:26,empresa extranjera,"servicio no tecnológico (banca, seguros, contabilidad, etc)",1,Engineering Manager,no,30 - 40%,50 - 60%,50 - 60%,40 - 50%,1+ año,10 - 15 años,JavaScript,"Kotlin, Objective-C++, PHP",contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo remoto,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,200000000,22000000,150000000,mi empleador,mi empleador,si - stock options,100,22.5,si,24000000,si,http://linkedin.com,Bogota,Colombia,1987,0,él (tradicionalmente se identifica como hombre),no,40,Engineering Manager,término indefinido,NULL,[10-100],[0-1000],[1k-10k],LinkedIn.com,Bogotá,Colombia,[31-35],[40-49],53333,4444
1052,7/3/2020 10:27:37,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,Desarrolladora front-end,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,JavaScript,TypeScript,contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo flexible,universitario,si,no,si,pregrado,Sí,https://www.acamica.com/,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,72000000,82000000,60000000,mi empleador,mi empleador,no,0,0,no,0,si,NULL,Medellin,Colombia,1993,0,ella (tradicionalmente se identifica como mujer),no,40,Frontend Developer,término indefinido,Acamica,[0-10],[0-1000],[0-1000],NULL,Medellín,Colombia,[26-30],[40-49],19200,1600
1053,7/3/2020 10:49:08,empresa Colombiana con mercado EEUU,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",más de 10,Senior Java developer,no,70 - 80%,0 - 10%,0 - 10%,0 - 10%,1+ año,3 - 5 años,Java,"Groovy, JavaScript, Shell",contrato a termino fijo,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo remoto,universitario,si,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,72000000,0,60000000,mi empleador,mi empleador,no,NULL,NULL,si,1000000,si,https://www.linkedin.com,Medellin,Colombia,1994,0,él (tradicionalmente se identifica como hombre),no,48,Backend Developer,término fijo,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[26-30],[40-49],19200,1600
1054,7/3/2020 10:58:16,empresa Colombiana con mercado global,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,Backend Development Manager,no,50 - 60%,30 - 40%,50 - 60%,50 - 60%,menos de 1 año,5 - 10 años,Python,SQL,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,84000000,10000000,72000000,mi empleador,mi empleador,si - stock options,17000,20,no,0,no,http://www.linkedin.com,Bogotá,Colombia,1991,0,él (tradicionalmente se identifica como hombre),no,40,Manager,término indefinido,NULL,[10-100],[10k-100k],[0-1000],LinkedIn.com,Bogotá,Colombia,[26-30],[40-49],22400,1866
1055,7/3/2020 10:58:59,empresa Colombiana con mercado global,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,Desarollador Junior Back-End,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,menos de 1 año,Python,Python,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,36000000,0,0,mi empleador,mi empleador,no,0,0,no,0,no,NULL,Bogota,Colombia,1996,0,él (tradicionalmente se identifica como hombre),no,40,Backend Developer,término indefinido,NULL,[0-10],[0-1000],[0-1000],NULL,Bogotá,Colombia,[21-25],[40-49],9600,800
1056,7/3/2020 10:59:51,empresa Colombiana con mercado global,"servicio no tecnológico (banca, seguros, contabilidad, etc)",2 - 5,Backend Developer,no,80 - 90%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1+ año,2+ años,Python,Ninguno,contrato a termino fijo,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,37800000,0,24000000,mi empleador,mi empleador,no,NULL,NULL,no,0,no,http://linkedin.com,Bogota,Venezuela,1991,0,él (tradicionalmente se identifica como hombre),no,40,Backend Developer,término fijo,NULL,NULL,NULL,[0-1000],LinkedIn.com,Bogotá,Venezuela,[26-30],[40-49],10080,840
1057,7/3/2020 11:18:29,empresa Colombiana con mercado Colombiano,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",más de 10,Programador Frontend,no,80 - 90%,10 - 20%,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,JavaScript,JavaScript,Prestacion de Servicios,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,60000000,0,67320000,yo,yo,no,NULL,NULL,si,0,si,http://linkedin.com,Bogotá,Colombia,1994,0,él (tradicionalmente se identifica como hombre),no,35,Frontend Developer,Prestacion de Servicios,NULL,NULL,NULL,[0-1000],LinkedIn.com,Bogotá,Colombia,[26-30],[30-39],16000,1333
1058,7/3/2020 11:27:07,empresa extranjera,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,Java Sr Developer,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,más de 15 años,Java,"JavaScript, TypeScript",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,universitario,si,no,si,maestria,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,98400000,0,62400000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,http://linkedin.com,Medellín,Venezuela,1979,1,él (tradicionalmente se identifica como hombre),no,48,Backend Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Venezuela,[41-45],[40-49],26240,2186
1059,7/3/2020 11:30:33,empresa Colombiana con mercado global,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",2 - 5,Senior backend,no,40 - 50%,60 - 70%,50 - 60%,no tengo responsabilidades gerenciales,2+ años,3 - 5 años,Python,SQL,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,39600000,12000000,24000000,mi empleador,mi empleador,si - stock options,NULL,NULL,no,0,no,http://indeed.com,Bogota,Venezuela,1992,0,él (tradicionalmente se identifica como hombre),no,45,Backend Developer,término indefinido,NULL,NULL,NULL,[0-1000],Indeed.com,Bogotá,Venezuela,[26-30],[40-49],10560,880
1060,7/3/2020 11:38:33,empresa Colombiana con mercado Colombiano,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,CTO,no,0 - 10%,50 - 60%,10 - 20%,50 - 60%,más de 15 años,más de 15 años,PHP,JavaScript,contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo remoto,ningúno,no,no,no,bachiller,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,120000000,20000000,96000000,yo,yo,no,NULL,NULL,si,10000000,si,http://linkedin.com,Bogotá,Argentina,1982,1,él (tradicionalmente se identifica como hombre),no,48,CTO,término indefinido,NULL,NULL,NULL,[1k-10k],LinkedIn.com,Bogotá,Argentina,[36-40],[40-49],32000,2666
1061,7/3/2020 11:44:34,empresa Colombiana con mercado EEUU,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,NULL,no,70 - 80%,20 - 30%,20 - 30%,20 - 30%,2+ años,3 - 5 años,Python,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,universitario,soy estudiante de pre-grado relacionado a ing de sistemas,si,no,maestria,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,42000000,0,24000000,mi empleador,mi empleador,si - stock options,100,0,no,0,no,https://www.linkedin.com/,bogota,Colombia,1985,0,ella (tradicionalmente se identifica como mujer),no,50,Developer,término indefinido,NULL,[0-10],[0-1000],[0-1000],LinkedIn.com,Bogotá,Colombia,[31-35],[50-59],11200,933
1062,7/3/2020 12:13:52,empresa Colombiana con mercado global,consultoría y servicios de desarrollo de software a la medida,5 - 10,Desarrollador Junior,no,80 - 90%,10 - 20%,10 - 20%,0 - 10%,1+ año,2+ años,JavaScript,Ruby,contrato a termino fijo,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,2000000,24000000,21600000,mi empleador,mi empleador,no,NULL,NULL,si,0,no,http://linkedin.com,Barranquilla,Colombia,1995,0,él (tradicionalmente se identifica como hombre),no,40,Developer,término fijo,NULL,NULL,NULL,[0-1000],LinkedIn.com,Barranquilla,Colombia,[21-25],[40-49],533,44
1063,7/3/2020 12:15:40,empresa Colombiana con mercado global,consultoría y servicios de desarrollo de software a la medida,5 - 10,Desarrollador Senior,no,70 - 80%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,1+ año,2+ años,JavaScript,"FreeMarker, JavaScript",contrato a termino fijo,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo en oficina,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,24000000,2000000,0,mi empleador,mi empleador,no,NULL,NULL,no,0,si,https://www.uninorte.edu.co/web/egresados/turpial,Barranquilla,Colombia,1994,0,él (tradicionalmente se identifica como hombre),no,40,Developer,término fijo,NULL,NULL,NULL,[0-1000],https://www.uninorte.edu.co/web/egresados/turpial,Barranquilla,Colombia,[26-30],[40-49],6400,533
1064,7/3/2020 12:51:46,empresa Colombiana con mercado global,consultoría y servicios de desarrollo de software a la medida,5 - 10,Desarrollador Junior,no,70 - 80%,10 - 20%,0 - 10%,no tengo responsabilidades gerenciales,1+ año,1+ año,JavaScript,FreeMarker,Contrato por Prestación de Servicios,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo en oficina,universitario,si,no,si,pregrado,Sí,https://www.datacamp.com/,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,1900000,0,0,yo,yo,no,0,0,no,0,no,http://linkedin.com,Barranquilla,Colombia,1999,0,él (tradicionalmente se identifica como hombre),no,40,Developer,Prestación de servicios,datacamp.com,[0-10],[0-1000],[0-1000],LinkedIn.com,Barranquilla,Colombia,[21-25],[40-49],506,42
1065,7/3/2020 12:56:03,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,más de 10,iOS Developer,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,Swift,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,55200000,0,37200000,mi empleador,mi empleador,no,NULL,NULL,si,0,si,http://linkedin.com,Barranquilla,Colombia,1994,0,él (tradicionalmente se identifica como hombre),no,40,iOS Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Barranquilla,Colombia,[26-30],[40-49],14720,1226
1066,7/3/2020 14:53:23,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,Software Developer Test Enginner,no,70 - 80%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,5 - 10 años,más de 15 años,C#,"C#, Java, JavaScript, PowerShell, Python, SQL, TypeScript",contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,si,si,maestria,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,64800000,12000000,33600000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,http://linkedin.com,Bogota,Colombia,1981,2,él (tradicionalmente se identifica como hombre),no,45,Tester,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Bogotá,Colombia,[36-40],[40-49],17280,1440
1067,7/3/2020 14:58:49,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,menos de 1,QA Analyst,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,menos de 1 año,JavaScript,"CoffeeScript, TypeScript",contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo remoto,universitario,no,no,no,pregrado,Sí,https://www.acamica.com/desarrollo-web-full-stack,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,48000000,0,24000000,mi empleador,mi empleador,no,0,NULL,no,9000000,si,http://linkedin.com,Sabaneta	Antioquia,Colombia,1992,0,ella (tradicionalmente se identifica como mujer),no,48,QA Analyst,término indefinido,Acamica,NULL,[0-1000],[1k-10k],LinkedIn.com,Sabaneta,Colombia,[26-30],[40-49],12800,1066
1068,7/3/2020 15:12:56,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,más de 10,[redactado],no,80 - 90%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,3 - 5 años,3 - 5 años,Java,"Java, JavaScript, SQL, TypeScript",contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,84000000,7000000,13200000,mi empleador,mi empleador,no,NULL,NULL,no,0,no,http://linkedin.com,Antioquia,Colombia,1995,0,él (tradicionalmente se identifica como hombre),no,40,Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Antioquia,Colombia,[21-25],[40-49],22400,1866
1069,7/3/2020 15:43:28,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,2 - 5,Frontend Tech Lead,no,50 - 60%,0 - 10%,40 - 50%,10 - 20%,menos de 1 año,3 - 5 años,JavaScript,Python,contratista internacional,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,bachiller,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),dólares,19200,3000,9600,no tengo,no tengo,no,NULL,NULL,no,0,no,http://linkedin.com,Medellín,Venezuela,1996,0,él (tradicionalmente se identifica como hombre),no,40,Lead,Contratista,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Venezuela,[21-25],[40-49],19200,1600
1070,7/3/2020 16:10:44,empresa Colombiana con mercado latinoamericano,consultoría y servicios de desarrollo de software a la medida,2 - 5,Data Engineer I,no,70 - 80%,10 - 20%,70 - 80%,no tengo responsabilidades gerenciales,menos de 1 año,2+ años,Python,"Shell, SQL",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo flexible,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,bachiller,Sí,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,3000000,0,24000000,mi empleador,mi empleador,no,NULL,NULL,no,10000000,si,http://linkedin.com,Bogota,Colombia,1996,0,ella (tradicionalmente se identifica como mujer),LGTB,40,Data Engineer I,término indefinido,NULL,NULL,NULL,[1k-10k],LinkedIn.com,Bogotá,Colombia,[21-25],[40-49],800,66
1071,7/3/2020 16:12:13,empresa Colombiana con mercado Colombiano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,Analista de sistemas,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1+ año,2+ años,SQL,Shell,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,"técnico, tecnología, bachiller técnico",No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,9600000,400000,0,mi empleador,mi empleador,no,NULL,NULL,si,2000000,no,http://linkedin.com,Bogota,Colombia,1998,0,ella (tradicionalmente se identifica como mujer),no,25,Analista,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Bogotá,Colombia,[21-25],[20-29],2560,213
1072,7/3/2020 17:00:00,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,5 - 10,Desarrollador de software,no,70 - 80%,10 - 20%,0 - 10%,no tengo responsabilidades gerenciales,1+ año,1+ año,TypeScript,JavaScript,Contratista,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,no,no,no,pregrado,Sí,https://makeitreal.camp/,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,28800000,28800000,25200000,yo,yo,no,0,NULL,no,0,no,http://linkedin.com,Bello,Colombia,1983,2,él (tradicionalmente se identifica como hombre),no,40,Developer,Contratista,makeitreal.camp,NULL,[0-1000],[0-1000],LinkedIn.com,"Bello, Antioquia",Colombia,[36-40],[40-49],7680,640
1073,7/3/2020 17:07:59,empresa extranjera,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",más de 10,Senior Software Engineer,no,70 - 80%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,2+ años,5 - 10 años,Java,"Go, JavaScript, TypeScript",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,8000000,8000000,6400000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,https://linkedin.com,Medellín,Colombia,1992,1,él (tradicionalmente se identifica como hombre),no,45,Software Engineer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[26-30],[40-49],2133,177
